112,C[N+]1=CN(CCCC[S](O)(=O)=O)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,112
113,C[N+]1=CN(CCCC[S](O)(=O)=O)C=C1.[O-]S(=O)(=O)C(F)(F)F,113
114,C[N+]1=CN(CC=C)C=C1.F[B-](F)(F)F,114
115,C[N+]1=CN(CC=C)C=C1.[Br-],115
116,C[N+]1=CN(CC=C)C=C1.[Cl-],116
117,C[N+]1=CN(CC=C)C=C1.N#C[N-]C#N,117
118,C[N+]1=CN(CC=C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,118
119,CCCCCCCC[N+]1=CN(CC=C)C=C1.[Br-],119
120,CCCCCCCCCC[N+]1=CN(CC=C)C=C1.[Br-],120
121,CCCCCCCCCCCC[N+]1=CN(CC=C)C=C1.[Br-],121
122,C=C[N+]1=CN(CC=C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,122
123,CON1C=C[N+](OC)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,123
124,CCN1C=C[N+](C)=C1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,124
125,CCC[N+]1=C(C)N(C)C=C1.F[B-](F)(F)F,125
126,CCC[N+]1=C(C)N(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,126
127,CCCCCC[N+]1=C(C)N(C)C=C1.F[B-](F)(F)F,127
128,CCCCCC[N+]1=C(C)N(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,128
129,CCCCCCCCN1C=C[N+](=C1C)C.F[B-](F)(F)F,129
130,CCCCCCCCN1C=C[N+](=C1C)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,130
131,CCCCCCCCCCN1C=C[N+](CCCCCCCCCC)=C1C.N#C[N-]C#N,131
132,CCCCCCCCCCN1C=C[N+](CCCCCCCCCC)=C1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,132
133,CCCCCCCCN1C=C[N+](COCCC)=C1C.N#C[N-]C#N,133
134,CCCCCCCCN1C=C[N+](COCCC)=C1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,134
135,CN1C=C[N+](CCCC#N)=C1C.N#C[N-]C#N,135
136,CN1C=C[N+](CCCC#N)=C1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,136
137,CCCCCC[N+]1=CC2=CC=CC=C2C=C1.[S-]C#N,137
138,CCCCCCCC[N+]1=CC2=CC=CC=C2C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,138
139,C1=CC=[NH+]C=C1.CCOCCOS([O-])(=O)=O,139
140,CC[N+]1=CC=CC=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,140
141,CC[N+]1=CC=CC=C1.[O-]C(=O)C(F)(F)F,141
142,CCCC[N+]1=CC=CC=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,142
143,CCCCC[N+]1=CC=CC=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,143
144,CCCCCC[N+]1=CC=CC=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,144
145,[N+]1(CC2CCCCC2)=CC=CC=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,145
146,[N+]1(CC2=CC=CC=C2)=CC=CC=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,146
147,OCCC[N+]1=CC=CC=C1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,147
148,C1=CC=[N+](C=C1)CCCO.N#C[N-]C#N,148
149,OCCC[N+]1=CC=CC=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,149
150,N#CCCC[N+]1=CC=CC=C1.N#C[N-]C#N,150
151,CCCOC[N+]1=CC=C(N(C)C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,151
152,CC[N+]1=CC(C)=CC=C1.CCOS([O-])(=O)=O,152
153,CCCC[N+]1=CC(C)=CC=C1.[O-]S(=O)(=O)C(F)(F)F,153
154,CCCC[N+]1=CC(C)=CC=C1.FC(F)(F)C1=NC(C#N)=C([N-]1)C#N,154
155,CCCC[N+]1=CC=C(C)C=C1.F[B-](F)(F)F,155
156,CCCC[N+]1=CC=C(C)C=C1.N#C[C-](C#N)C#N,156
157,CCCC[N+]1=CC=C(C)C=C1.N#C[N-]C#N,157
158,CCCC[N+]1=CC=C(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,158
159,CCCC[N+]1=CC=C(C)C=C1.[S-]C#N,159
160,CCCC[N+]1=CC=C(C)C=C1.CC1=CC=C(C=C1)S([O-])(=O)=O,160
161,CCCC[N+]1=CC=C(C#N)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,161
162,CCCCCC[N+]1=CC(C)=CC=C1.CC1=CC=C(C=C1)S([O-])(=O)=O,162
163,CC[N+]1(C)CCCC1.CC(O)C([O-])=O,163
164,CCC[N+]1(C)CCCC1.[N-](S(=O)(=O)F)S(=O)(=O)F,164
165,CCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,165
166,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,166
167,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,167
168,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,168
169,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,169
170,CCCC[N+]1(C)CCCC1.[N-](S(=O)(=O)F)S(=O)(=O)F,170
171,CCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,171
172,CCCC[N+]1(C)CCCC1.[O-]S(=O)(=O)C(F)(F)F,172
173,CCCC[N+]1(C)CCCC1.[S-]C#N,173
174,CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,174
175,CCCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,175
176,CCCCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,176
177,CCCCCCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,177
178,CCCCCCCCCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,178
179,C[N+]1(CC2CCCCC2)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,179
180,C[N+]1(CC2=CC=CC=C2)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,180
181,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,181
182,COCC[N+]1(C)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,182
